,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Expectations Survey1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
for periods indicated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,,,,,2008,,,,,2009,,,,,2010,,,,,2011,,,,,2012,,,,,2013,,,,,2014,,,,,2015,,,,,2016,,,,,2017,,,,,2018,,,,,2019,,,,,2020,,,,,2021,,,,,2022,,,,,2023,,,,,2024,,,,,2025,,,
,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15. Debt sentiment of households2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Next Quarter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of households with intention to apply for a loan,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,10.1,-,6.1,7.3,,7.1,6.0,6.8,6.0,,6.9,7.0,7.5,8.6,,8.6,7.4,8.8,10.0,,8.9,8.4,8.7,10.0,,14.2,12.0,13.0,
,By area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NCR,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,6.2,-,3.3,3.1,,4.2,2.5,3.7,3.9,,4.2,3.4,4.3,3.8,,4.5,4.5,2.7,6.7,,4.0,2.6,4.3,4.8,,13.5,10.6,7.8,
,AONCR,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,10.7,-,6.6,8.0,,7.6,6.5,7.3,6.4,,7.3,7.6,8.0,9.3,,9.3,7.8,9.8,10.6,,9.6,9.3,9.4,10.9,,14.3,12.2,13.8,
,By income group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
